Title,Genre,Theme,Mode,Perspective,Source, File Location,Status,Difficulty (out of 5),Game Length (in hours),File Size (in GB),Top 100,Single-Player,Open World,Action RPG,Action-Adventure,Other,Best Lists,IGN,IGDB,OpenCritic,MetaCritic,GameRankings,Avg. Score,Personal Rating,Owned?,MapGenie?,Save Wizard?,Comments,,,
Anomaly Agent,"Fighting, Platform, Adventure, Indie, Arcade",Action,Single Player,Side View,N/A,N/A,N/A,4.50,11.93,N/A,,,,,,,0,8.10,8.00,8.30,8.40,N/A,8.20,,N,N,N,,,,
Antiquia Lost,"Role-playing (RPG), Simulator, Strategy, Adventure, Indie",Fantasy,Single Player,Bird view/Isometric,Digital Download,Drive 4,Unplayed,2.04,27.00,0.45,,,,,,,0,8.26,8.00,6.00,8.00,N/A,7.57,,Y,N,Y,,,,
Ape Escape,Platform,Action,Single Player,"Third Person, Side View",Playstation Plus,Drive 3,Unplayed,3.15,11.00,1.02,,,,,,,0,9.50,7.70,8.00,9.00,9.04,8.65,,Y,N,N,,,,
Ape Escape 2,"Platform, Adventure","Action, Fantasy, Comedy",Single Player,Third Person,Playstation Plus,Drive 3,Unplayed,2.83,20.00,1.77,,,,,,,0,9.00,7.80,N/A,8.20,8.12,8.28,,Y,N,N,,,,
Ape Escape Academy,Puzzle,Party,,,Playstation Plus,Drive 3,Unplayed,3.00,5.50,0.36,,,,,,,0,5.50,4.70,N/A,5.10,5.56,5.21,,Y,N,N,,,,
Ape Escape: On the Loose,Platform,Action,Single Player,"Third Person, Side View",Playstation Plus,Drive 3,Unplayed,3.00,8.00,0.40,,,,,,,0,7.00,7.70,8.00,6.60,6.65,7.19,,Y,N,N,,,,
Apex Legends,"Shooter, Tactical","Action, Science Fiction","Multiplayer, Co-operative, Battle Royale",First Person,N/A,N/A,N/A,3.34,179.00,73.44,1,,,,,,1,9.00,8.80,8.10,8.90,8.62,8.68,0,N,N,N,Multiplayer online-only battle royale game. Deleted to save hard drive space.,,,
Apotheon,"Platform, Role-playing (RPG), Hack and Slash/Beat 'em up, Adventure, Indie","Action, Fantasy, Historical","Single Player, Multiplayer",Side View,Digital Download,Drive 4,Unplayed,2.95,26.98,0.62,,,,,,,0,6.90,8.50,7.80,7.80,7.42,7.68,,Y,N,Y,,,,
Ara Fell: Enhanced Edition,"Role-playing (RPG), Adventure","Action, Fantasy, Open World",Single Player,Bird view/Isometric,Digital Download,Drive 4,Unplayed,3.00,31.68,1.35,,,,,,,0,8.00,7.50,6.80,6.90,N/A,7.30,0,Y,N,N,,,,
Aragami,"Adventure, Indie","Action, Stealth","Single Player, Multiplayer, Co-operative",Third Person,Playstation Plus,Drive 1,Unplayed,3.31,19.50,9.59,,,,,,,0,6.80,7.00,7.10,7.20,7.12,7.04,0,Y,N,Y,,,,
