Title,Genre,Theme,Mode,Perspective,Source, File Location,Status,Difficulty (out of 5),Game Length (in hours),File Size (in GB),Top 100,Single-Player,Open World,Action RPG,Action-Adventure,Other,Best Lists,IGN,IGDB,OpenCritic,MetaCritic,GameRankings,Avg. Score,Personal Rating,Owned?,MapGenie?,Save Wizard?,Comments,,,
My Memory of Us,"Platform, Puzzle, Adventure, Indie",Action,Single Player,Side View,N/A,N/A,N/A,2.75,8.72,N/A,,,,,,,0,8.00,7.00,7.40,7.70,6.67,7.35,,N,N,N,,,,
My Time at Portia,"Role-playing (RPG), Simulator, Adventure, Indie","Action, Fantasy, Survival, Sandbox, Open World",Single Player,Third Person,Digital Download,Drive 2,Unplayed,2.74,142.00,6.72,,,,,,,0,8.00,7.00,7.50,7.30,7.10,7.38,,Y,N,Y,,,,
My Time at Sandrock,"Role-playing (RPG), Simulator, Adventure, Indie","Action, Sandbox, Kids","Single Player, Multiplayer, Co-operative","Third Person, Bird view/Isometric",N/A,N/A,N/A,2.56,155.00,50.00,,,,,,,0,8.00,8.40,7.60,8.00,N/A,8.00,,N,N,N,,,,
Myst,"Point-and-click, Puzzle, Adventure","Fantasy, Science Fiction, Mystery",Single Player,First Person,Digital Download,Drive 4,Unplayed,3.79,12.80,1.38,,,,,,,0,7.50,5.50,7.40,7.80,6.00,6.84,0,Y,N,N,,,,
Mystik Belle,"Platform, Role-playing (RPG), Adventure, Indie","Action, Fantasy",Single Player,Side View,Digital Download,Drive 4,Unplayed,3.00,9.02,0.12,,,,,,,0,N/A,6.80,7.30,6.90,7.17,7.04,,Y,N,Y,,,,
MythForce,"Role-playing (RPG), Adventure","Action, Fantasy","Single Player, Multiplayer, Co-operative",First Person,N/A,N/A,N/A,3.00,12.22,N/A,,,,,,,0,7.00,6.50,5.80,6.80,N/A,6.53,,N,N,N,,,,
Mythwrecked: Ambrosia Island,"Puzzle, Adventure, Indie","Fantasy, Drama, Kids",Single Player,"First Person, Third Person",N/A,N/A,N/A,3.00,11.30,N/A,,,,,,,0,7.00,N/A,6.20,6.30,N/A,6.50,,N,N,N,,,,
Naiad,"Puzzle, Adventure, Indie","Fantasy, Kids",Single Player,"Third Person, Bird view/Isometric",N/A,N/A,N/A,2.00,12.53,N/A,,,,,,,0,7.50,N/A,7.70,7.00,N/A,7.40,,N,N,N,,,,
Narcosis,"Adventure, Indie","Action, Horror, Survival, Mystery",Single Player,"First Person, Virtual Reality",N/A,N/A,N/A,2.75,6.12,N/A,,,,,,,0,5.00,8.50,7.10,7.20,6.50,6.86,,N,N,N,,,,
Naruto Shippuden: Ultimate Ninja Storm 4,"Fighting, Adventure",Action,"Single Player, Multiplayer",Side View,Digital Download,Drive 2,Unplayed,2.89,39.00,41.62,,,,,,,0,5.50,7.50,7.90,7.90,7.92,7.34,,Y,N,Y,,,,
Natsuki Chronicles,"Shooter, Arcade","Action, Science Fiction",Single Player,Side View,Digital Download,Drive 1,Unplayed,4.17,4.77,4.82,,,,,,,0,8.00,8.50,7.90,8.00,N/A,8.10,,Y,N,N,,,,
Necromunda: Hired Gun,"Shooter, Turn-based Strategy (TBS), Adventure","Action, Science Fiction",Single Player,First Person,Digital Download,Drive 4,Unplayed,3.00,23.93,28.06,,,,,,,0,5.00,6.20,5.80,6.20,N/A,5.80,0,Y,N,Y,,,,
Necropolis,"Puzzle, Adventure, Indie","Action, Fantasy","Single Player, Multiplayer, Co-operative",Third Person,Digital Download,Drive 4,Unplayed,4.35,22.10,8.32,,,,,,,0,6.50,6.00,5.80,5.90,5.63,5.97,,Y,N,N,,,,
Need for Speed Heat,"Racing, Sport, Adventure","Action, Open World","Single Player, Multiplayer, Co-operative","First Person, Third Person",Digital Download,Drive 2,Unplayed,3.04,89.53,36.18,,,,,,,0,8.00,7.00,7.20,7.20,7.17,7.31,,Y,N,Y,,,,
Need for Speed Hot Pursuit Remastered,Racing,Action,"Single Player, Multiplayer","First Person, Third Person",Digital Download,Drive 2,Unplayed,3.41,108.80,31.56,,,,,,,0,8.00,8.00,7.40,7.50,8.89,7.96,0,Y,N,Y,,,,
Need for Speed Payback,"Racing, Sport","Action, Open World","Single Player, Multiplayer",Third Person,Digital Download,Drive 2,Unplayed,3.05,91.72,28.16,,,,,,,0,5.90,5.40,6.00,6.10,5.90,5.86,,Y,N,Y,,,,
Need For Speed: Rivals,"Racing, Adventure","Action, Open World","Single Player, Multiplayer","First Person, Third Person",Digital Download,Drive 2,Unplayed,3.09,49.08,16.91,,,,,,,0,8.00,8.00,8.00,8.00,8.06,8.01,,Y,N,Y,,,,
NEO: The World Ends with You,"Role-playing (RPG), Hack and Slash/Beat 'em up",Action,Single Player,Third Person,N/A,N/A,N/A,3.06,104.00,9.00,,,,,,,0,7.00,8.40,8.20,8.00,N/A,7.90,,N,N,Y,,,,
Neon Abyss,"Shooter, Platform, Role-playing (RPG), Adventure, Indie",Action,Single Player,Bird view/Isometric,Digital Download,Drive 2,Unplayed,4.00,92.00,1.76,,,,,,,0,7.40,9.00,7.60,7.40,N/A,7.85,,Y,N,N,,,,
Neon Inferno,"Shooter, Platform, Hack and Slash/Beat 'em up, Adventure, Indie, Arcade","Action, Science Fiction","Single Player, Multiplayer, Co-operative",Side View,N/A,N/A,N/A,4.00,10.00,N/A,,,,,,,0,7.50,8.00,7.70,8.00,N/A,7.80,0,N,N,N,,,,
Neon White,"Shooter, Platform, Indie, Visual Novel","Action, Fantasy",Single Player,"First Person, Text",Playstation Plus,Drive 4,Unplayed,3.60,58.75,8.07,,,,,,,0,8.00,8.90,8.90,8.90,N/A,8.68,,Y,N,N,,,,
Neptunia ReVerse,Role-playing (RPG),Action,Single Player,Third Person,N/A,N/A,N/A,2.64,58.20,6.08,,,,,,,0,9.30,6.60,6.80,6.70,N/A,7.35,,N,N,N,,,,
Neptunia: Sisters vs. Sisters,Role-playing (RPG),"Action, Science Fiction",Single Player,Third Person,N/A,N/A,N/A,2.64,54.32,6.08,,,,,,,0,8.30,7.30,6.70,6.50,N/A,7.20,,N,N,Y,,,,
Neva,"Platform, Puzzle, Adventure, Indie","Action, Fantasy, Drama",Single Player,Side View,N/A,N/A,N/A,3.00,8.97,2.87,,,,,,,0,8.40,9.30,8.70,8.60,N/A,8.75,,N,N,N,,,,
Never Alone: Kisima Ingitchuna,"Platform, Puzzle, Adventure, Indie","Action, Historical, Educational","Single Player, Multiplayer, Massively Multiplayer Online (MMO)",Side View,Digital Download,Drive 2,Unplayed,2.17,9.60,4.76,,,,,,,0,7.00,7.10,7.20,7.20,7.31,7.16,0,Y,N,N,,,,
Neverwinter Nights: Enhanced Edition,"Role-playing (RPG), Adventure",Fantasy,"Single Player, Multiplayer, Co-operative","Third Person, Bird view/Isometric",N/A,N/A,N/A,3.38,212.23,N/A,,,,,,,0,8.80,4.50,5.50,6.30,8.90,6.80,,N,N,N,,,,
NEW Joe and Mac - Caveman Ninja,"Platform, Adventure, Arcade",Action,"Single Player, Co-operative",,N/A,N/A,N/A,3.40,2.18,N/A,,,,,,,0,5.90,2.70,5.82,5.80,N/A,5.05,,N,N,N,,,,
New Star GP,"Racing, Simulator, Sport, Indie, Arcade",,"Single Player, Multiplayer",,N/A,N/A,N/A,3.00,25.00,N/A,,,,,,,0,8.00,8.00,8.00,8.10,N/A,8.03,,N,N,N,,,,
New Super Lucky's Tale,"Platform, Adventure, Indie, Arcade","Action, Kids",Single Player,Third Person,Digital Download,Drive 4,Unplayed,2.86,11.00,5.92,,,,,,,0,7.40,7.80,7.90,7.60,7.79,7.70,,Y,N,Y,,,,
Nex Machina: Death Machine,"Shooter, Indie, Arcade","Action, Science Fiction","Single Player, Multiplayer, Co-operative",Bird view/Isometric,N/A,N/A,N/A,3.97,20.00,1.02,,,,,,,0,8.00,9.10,8.60,8.80,8.86,8.67,,N,N,Y,,,,
Nexomon,"Role-playing (RPG), Simulator, Strategy, Adventure, Indie","Action, Fantasy",Single Player,Bird view/Isometric,Digital Download,Drive 4,Unplayed,3.45,68.82,1.74,,,,,,,0,7.30,8.00,7.60,7.90,7.00,7.56,0,Y,N,Y,,,,
Nexomon: Extinction,"Role-playing (RPG), Simulator, Turn-based Strategy (TBS), Adventure, Indie","Action, Fantasy",Single Player,"Bird view/Isometric, Side View",Digital Download,Drive 4,Unplayed,3.25,106.82,5.05,,,,,,,0,7.80,8.00,7.20,7.10,N/A,7.53,,Y,N,Y,,,,
NHL 15,"Simulator, Sport",Non-fiction,"Single Player, Multiplayer, Co-operative",Bird view/Isometric,Physical Media,Drive 1,Unplayed,2.87,50.00,22.68,,,,,,,0,7.00,6.20,6.10,6.00,5.91,6.24,0,Y,N,N,,,,
Ni No Kuni II: Revenant Kingdom,"Role-playing (RPG), Adventure","Action, Fantasy",Single Player,Third Person,Digital Download,Drive 2,Unplayed,2.43,94.00,31.25,,,,,,,0,7.80,8.60,8.70,8.00,8.63,8.35,,Y,N,Y,,,,
Ni no Kuni Wrath of the White Witch Remastered,"Role-playing (RPG), Adventure","Action, Fantasy, Kids, Open World",Single Player,Third Person,Digital Download,Drive 2,Unplayed,3.09,92.00,21.23,,,,,,,0,9.40,8.40,8.60,8.60,8.60,8.72,,Y,N,Y,,,,
Niche: A Genetics Survival Game,"Simulator, Strategy, Indie, Card & Board Game","Survival, Sandbox, Educational, Kids",Single Player,,N/A,N/A,N/A,4.00,4.75,N/A,,,,,,,0,5.00,8.30,5.77,5.67,N/A,6.18,,N,N,N,,,,
NieR Replicant ver. 1.22474487139...,"Role-playing (RPG), Adventure","Action, Science Fiction, Drama, Open World",Single Player,Third Person,N/A,N/A,Removed,2.89,68.50,28.36,,,,,,,0,8.00,8.20,8.30,8.30,N/A,8.20,0,N,N,Y,Removed from PS+ after download.,,,
NieR: Automata,"Role-playing (RPG), Hack and Slash/Beat 'em up","Action, Fantasy, Science Fiction, Drama, Open World",Single Player,"Third Person, Side View",N/A,N/A,N/A,3.03,61.00,48.92,1,1,,1,,,3,8.90,8.60,8.90,8.80,8.87,8.81,0,N,N,Y,,,,
Niffelheim,"Platform, Role-playing (RPG), Simulator, Strategy, Adventure, Indie","Action, Survival","Single Player, Multiplayer, Co-operative",,Digital Download,Drive 4,Unplayed,3.00,33.72,2.83,,,,,,,0,5.00,7.40,6.50,6.77,N/A,6.42,,Y,N,Y,,,,
Night in the Woods,"Platform, Adventure, Indie","Fantasy, Drama",Single Player,Side View,N/A,N/A,Removed,1.96,24.00,13.77,,,,,,,0,8.70,8.80,8.60,8.80,8.92,8.76,,N,N,N,Removed from PS+ after download.,,,
Night Trap,"Puzzle, Strategy, Adventure","Action, Horror, Comedy",Single Player,First Person,N/A,N/A,N/A,3.32,12.78,N/A,,,,,,,0,6.00,4.00,5.70,5.00,5.57,5.25,,N,N,N,,,,
Nightmare Reaper,"Shooter, Adventure, Indie, Arcade","Action, Horror",Single Player,First Person,N/A,N/A,N/A,3.92,36.25,N/A,,,,,,,0,8.30,7.50,7.50,8.20,N/A,7.88,,N,N,N,,,,
Nights of Azure,"Role-playing (RPG), Hack and Slash/Beat 'em up","Action, Fantasy",Single Player,Third Person,N/A,N/A,N/A,2.80,51.63,N/A,,,,,,,0,6.40,6.60,6.80,6.70,6.82,6.66,,N,N,Y,,,,
Nights of Azure 2,Role-playing (RPG),Action,Single Player,,N/A,N/A,N/A,2.82,67.30,6.60,,,,,,,0,8.20,6.00,6.50,6.60,6.57,6.77,0,N,N,Y,,,,
Nikoderiko: The Magical World,"Platform, Adventure, Arcade","Action, Kids, Party","Single Player, Multiplayer, Co-operative, Split Screen",Side View,N/A,N/A,N/A,2.00,10.00,N/A,,,,,,,0,7.70,8.50,7.80,8.00,N/A,8.00,,N,N,N,,,,
Nine Parchments,Role-playing (RPG),Action,"Single Player, Multiplayer, Co-operative",Bird view/Isometric,N/A,N/A,N/A,3.91,74.47,N/A,,,,,,,0,6.70,6.60,6.50,6.60,6.83,6.65,0,N,N,N,,,,
Nine Sols,"Platform, Hack and Slash/Beat 'em up, Adventure, Indie","Action, Fantasy, Science Fiction",Single Player,Side View,Playstation Plus,Drive 3,Unplayed,4.21,32.00,3.97,,,,,,,0,8.50,8.80,8.50,8.30,N/A,8.53,,Y,N,N,,,,
Ninja Gaiden Master Collection,"Hack and Slash/Beat 'em up, Adventure",Action,Single Player,,N/A,N/A,N/A,4.35,337.78,11.00,,,,,,,0,8.40,7.70,7.20,7.30,N/A,7.65,0,N,N,Y,"Contains the following:
• Ninja Gaiden Sigma
• Ninja Gaiden Sigma 2
• Ninja Gaiden 3: Razor's Edge",,,
Ninja Gaiden: Ragebound,"Platform, Hack and Slash/Beat 'em up, Adventure, Indie, Arcade",Action,Single Player,Side View,N/A,N/A,N/A,3.50,7.50,N/A,,,,,,,0,9.00,8.50,8.60,8.60,N/A,8.68,,N,N,N,,,,
Nioh,"Role-playing (RPG), Hack and Slash/Beat 'em up, Adventure","Action, Fantasy, Historical","Single Player, Multiplayer, Co-operative",Third Person,Playstation Plus,Drive 3,Unplayed,3.99,142.00,55.26,1,,,1,,,2,9.60,8.80,8.80,8.80,8.86,8.97,0,Y,N,Y,,,,
Nioh 2,"Role-playing (RPG), Hack and Slash/Beat 'em up, Adventure","Action, Fantasy, Historical","Single Player, Multiplayer, Co-operative",Third Person,Digital Download,Drive 3,Unplayed,4.05,137.00,52.97,1,,,1,,,2,9.00,8.40,8.50,8.50,N/A,8.60,0,Y,N,Y,,,,
No More Heroes 3,Hack and Slash/Beat 'em up,"Action, Comedy",Single Player,Third Person,Playstation Plus,Drive 2,Unplayed,3.67,28.50,21.90,,,,,,,0,6.00,6.90,7.60,7.50,N/A,7.00,,Y,N,Y,,,,
Nobody Saves the World,"Role-playing (RPG), Hack and Slash/Beat 'em up, Adventure, Indie","Action, Fantasy","Single Player, Multiplayer, Co-operative",Bird view/Isometric,Digital Download,Drive 4,Unplayed,3.33,43.53,1.18,,,,,,,0,7.00,8.60,8.00,7.90,N/A,7.88,,Y,N,Y,,,,
Nobunaga's Ambition: Sphere of Influence,"Simulator, Strategy, Turn-based Strategy (TBS)",Historical,Single Player,Bird view/Isometric,N/A,N/A,N/A,3.41,1647.88,N/A,,,,,,,0,9.00,8.00,7.60,8.00,7.91,8.10,,N,N,Y,,,,
Norco,"Point-and-click, Puzzle, Adventure, Indie","Science Fiction, Mystery",Single Player,,Digital Download,Drive 4,Unplayed,3.00,13.08,1.72,,,,,,,0,8.10,9.20,9.00,8.90,N/A,8.80,0,Y,N,N,,,,
Northgard,"Real Time Strategy (RTS), Role-playing (RPG), Simulator, Strategy, Turn-based Strategy (TBS), Indie","Fantasy, Survival","Single Player, Multiplayer, Co-operative",Bird view/Isometric,Digital Download,Drive 4,Unplayed,3.25,85.50,0.72,,,,,,,0,7.50,8.10,7.90,8.10,N/A,7.90,,Y,N,N,,,,
Not for Broadcast,"Point-and-click, Simulator, Adventure, Indie","Comedy, Drama",Single Player,First Person,Digital Download,Drive 4,Unplayed,4.00,40.00,53.02,,,,,,,0,7.40,8.50,8.70,8.20,N/A,8.20,,Y,N,N,,,,
Nuclear Throne,"Shooter, Adventure, Indie, Arcade","Action, Science Fiction","Single Player, Multiplayer, Co-operative",Bird view/Isometric,N/A,N/A,N/A,4.42,235.67,N/A,,,,,,,0,9.00,8.40,8.60,8.90,8.30,8.64,,N,N,N,,,,
Obduction,"Point-and-click, Puzzle, Adventure, Indie","Fantasy, Science Fiction, Mystery",Single Player,"First Person, Virtual Reality",N/A,N/A,N/A,4.17,26.70,N/A,,,,,,,0,6.80,6.70,7.20,7.60,5.83,6.83,,N,N,N,,,,
Observation,"Puzzle, Simulator, Adventure, Indie, Arcade","Science Fiction, Horror, Thriller",Single Player,First Person,Digital Download,Drive 1,Unplayed,2.59,14.27,7.83,,,,,,,0,9.00,8.20,7.60,7.50,7.40,7.94,,Y,N,N,,,,
Oceanhorn: Monster of Uncharted Seas,"Role-playing (RPG), Adventure, Indie","Action, Fantasy",Single Player,Bird view/Isometric,Digital Download,Drive 1,Unplayed,2.67,24.10,0.49,,,,,,,0,6.80,7.30,6.70,8.50,6.28,7.12,,Y,N,Y,,,,
Octopath Traveler,"Role-playing (RPG), Adventure",Fantasy,Single Player,"Bird view/Isometric, Side View",N/A,N/A,N/A,3.00,221.50,N/A,,,,,,,0,9.30,8.50,8.40,8.30,8.33,8.57,0,N,N,Y,,,,
Octopath Traveler II,"Role-playing (RPG), Turn-based Strategy (TBS)","Action, Fantasy",Single Player,Bird view/Isometric,N/A,N/A,N/A,3.43,141.47,N/A,,,,,,,0,7.00,8.90,8.50,8.50,N/A,8.23,,N,N,Y,,,,
Oddworld: New 'n' Tasty,"Platform, Puzzle, Adventure, Indie","Action, Science Fiction, Stealth, Comedy","Single Player, Co-operative",Side View,Playstation Plus,Drive 3,Unplayed,3.35,11.50,7.55,,,,,,,0,8.50,7.60,8.00,8.40,8.32,8.16,,Y,N,N,,,,
Oddworld: Soulstorm Enhanced Edition,"Platform, Puzzle, Adventure, Indie","Action, Fantasy, Comedy",Single Player,Side View,Playstation Plus,Drive 3,Unplayed,4.20,35.50,14.98,,,,,,,0,7.00,8.30,7.30,7.90,N/A,7.63,0,Y,N,N,,,,
Oddworld: Stranger's Wrath HD,"Shooter, Platform, Adventure","Action, Science Fiction, Stealth, Comedy",Single Player,"First Person, Third Person",N/A,N/A,N/A,3.22,176.87,4.00,,,,,,,0,8.80,7.80,7.30,7.20,8.26,7.87,0,N,N,N,,,,
Odin Sphere Leifthrasir,Role-playing (RPG),"Action, Fantasy",Single Player,Side View,N/A,N/A,Removed,2.98,43.50,3.61,,,,,,,0,9.50,8.80,8.80,8.70,8.65,8.89,0,N,N,Y,Removed from PS+ after download,,,
Ōkami HD,"Role-playing (RPG), Adventure","Action, Fantasy, Historical, Comedy",Single Player,Third Person,Digital Download,Drive 3,Unplayed,2.75,53.00,16.18,,,,,,,1,9.00,9.20,8.70,9.00,9.03,8.99,,Y,N,Y,,,,
Okinawa Rush,"Fighting, Platform, Role-playing (RPG), Adventure, Indie",Action,"Single Player, Co-operative",Side View,Digital Download,Drive 1,Unplayed,3.00,11.50,1.40,,,,,,,0,8.00,8.00,8.20,8.10,N/A,8.08,,Y,N,N,,,,
Olija,"Platform, Hack and Slash/Beat 'em up, Adventure, Indie, Arcade","Action, Fantasy",Single Player,Third Person,Digital Download,Drive 4,Unplayed,3.50,9.10,2.70,,,,,,,0,7.00,8.00,7.90,7.70,N/A,7.65,0,Y,N,N,,,,
OlliOlli World,"Platform, Sport, Indie, Arcade",Action,Single Player,Third Person,N/A,N/A,N/A,3.71,57.00,1.50,,,,,,,0,9.00,8.70,8.60,8.40,N/A,8.68,,N,N,N,,,,
Omensight,"Role-playing (RPG), Adventure, Indie","Action, Mystery",Single Player,"Third Person, Bird view/Isometric",N/A,N/A,N/A,2.86,14.05,N/A,,,,,,,0,7.70,7.90,7.70,7.40,7.74,7.69,,N,N,Y,,,,
Omno,"Puzzle, Platform, Adventure, Indie","Action, Fantasy",Single Player,Third Person,Digital Download,Drive 4,Unplayed,2.71,8.35,2.17,,,,,,,0,7.10,8.30,7.90,7.60,N/A,7.73,0,Y,N,N,,,,
Omori,"Role-playing (RPG), Turn-based Strategy (TBS), Adventure, Indie","Fantasy, Horror",Single Player,Bird view/Isometric,N/A,N/A,N/A,2.43,105.30,N/A,,,,,,,0,9.10,8.30,8.60,8.70,N/A,8.68,0,N,N,Y,,,,
One Piece: Odyssey,"Role-playing (RPG), Adventure","Action, Fantasy, Comedy, Open World, Mystery",Single Player,Third Person,N/A,N/A,N/A,3.00,60.00,30.00,,,,,,,0,7.00,7.10,7.40,7.30,N/A,7.20,,N,N,Y,,,,
One Piece: Pirate Warriors 3,"Hack and Slash/Beat 'em up, Adventure",Action,"Single Player, Multiplayer, Co-operative, Split Screen",Third Person,Digital Download,Drive 3,Unplayed,2.89,107.00,14.42,,,,,,,0,6.90,7.60,7.40,7.40,7.50,7.36,0,Y,N,Y,,,,
One Piece: Pirate Warriors 4,"Hack and Slash/Beat 'em up, Adventure",Action,"Single Player, Multiplayer, Co-operative, Split Screen",Third Person,Digital Download,Drive 3,Unplayed,2.89,41.00,35.17,,,,,,,0,8.00,7.50,7.50,7.50,N/A,7.63,0,Y,N,Y,,,,
One Piece: World Seeker,Adventure,"Action, Fantasy, Open World",Single Player,Third Person,Digital Download,Drive 3,Unplayed,2.81,33.00,19.36,,,,,,,0,4.80,6.70,6.00,5.80,5.88,5.84,,Y,N,Y,,,,
One Punch Man: A Hero Nobody Knows,"Fighting, Hack and Slash/Beat 'em up","Action, Science Fiction","Single Player, Multiplayer",Side View,N/A,N/A,N/A,2.84,30.18,N/A,,,,,,,0,6.00,5.30,5.90,5.70,N/A,5.73,0,N,N,N,,,,
Onechanbara Z2: Chaos,Hack and Slash/Beat 'em up,"Action, Horror",Single Player,First Person,N/A,N/A,N/A,2.98,26.78,N/A,,,,,,,0,7.00,6.00,5.80,5.70,5.78,6.06,,N,N,Y,,,,
Onee Chanbara Origin,Hack and Slash/Beat 'em up,"Action, Horror",Single Player,Third Person,N/A,Drive 3,Removed,3.06,19.00,10.50,,,,,,,0,6.40,6.60,6.60,6.90,N/A,6.63,0,N,N,Y,Removed from PS+ after download.,,,
OneShot: World Machine Edition,"Puzzle, Role-playing (RPG), Adventure, Indie",Fantasy,Single Player,Bird view/Isometric,N/A,N/A,N/A,2.33,18.03,N/A,,,,,,,0,8.80,8.40,8.40,8.00,N/A,8.40,,N,N,N,,,,
Oniken: Unstoppable Edition & Odallus: The Dark Call Bundle,"Platform, Adventure, Arcade",Action,Single Player,,N/A,N/A,N/A,3.00,23.13,N/A,,,,,,,0,6.95,8.15,6.85,7.20,N/A,7.29,,N,N,N,,,,
Onimusha 2: Samurai's Destiny,"Role-playing (RPG), Adventure","Action, Horror",Single Player,,N/A,N/A,N/A,3.00,29.13,N/A,,,,,,,0,8.90,7.40,7.50,7.50,8.44,7.95,,N,N,Y,,,,
Onimusha: Warlords,"Role-playing (RPG), Adventure","Action, Fantasy, Historical",Single Player,"Third Person, Side View",N/A,N/A,N/A,3.10,13.00,N/A,,,,,,,0,6.50,7.50,7.30,7.10,7.18,7.12,,N,N,Y,,,,
Oninaki,"Role-playing (RPG), Adventure",Action,Single Player,Bird view/Isometric,N/A,N/A,N/A,3.00,42.00,4.24,,,,,,,0,7.40,6.70,7.10,6.90,6.69,6.96,,N,N,N,,,,
Open Roads,"Adventure, Indie","Drama, Kids, Mystery",Single Player,First Person,N/A,N/A,N/A,1.00,4.00,5.00,,,,,,,0,6.40,7.00,7.00,6.70,N/A,6.78,,N,N,N,,,,
Operencia: The Stolen Sun,"Role-playing (RPG), Turn-based Strategy (TBS), Adventure, Indie","Action, Fantasy",Single Player,First Person,N/A,N/A,N/A,3.80,43.47,N/A,,,,,,,0,5.00,7.70,8.00,8.20,8.18,7.42,,N,N,N,,,,
Orangeblood,"Role-playing (RPG), Adventure, Indie",Science Fiction,Single Player,Side View,N/A,N/A,N/A,4.00,23.82,N/A,,,,,,,0,3.00,5.00,6.20,5.70,N/A,4.98,,N,N,Y,,,,
Outcast - Second Contact,"Shooter, Role-playing (RPG), Adventure","Action, Fantasy, Science Fiction, Open World",Single Player,Third Person,Playstation Plus,Drive 1,Unplayed,3.00,23.00,14.33,,,,,,,0,8.50,7.00,6.80,6.10,5.72,6.82,0,Y,N,N,,,,
Outlast,"Adventure, Indie","Action, Horror, Survival, Stealth, Mystery",Single Player,First Person,Digital Download,Drive 1,Unplayed,3.46,11.50,4.58,1,,,,,,1,7.80,7.70,7.70,8.00,7.69,7.78,0,Y,N,N,,,,
Outlast 2,"Adventure, Indie","Action, Horror, Survival, Mystery",Single Player,First Person,Playstation Plus,Drive 1,Unplayed,3.31,13.00,21.35,,,,,,,0,8.30,7.80,7.50,7.50,6.87,7.59,0,Y,N,N,,,,
Outriders,"Shooter, Role-playing (RPG), Adventure","Action, Science Fiction","Single Player, Multiplayer, Co-operative",Third Person,N/A,N/A,Removed,3.23,134.53,N/A,,,,,,,0,7.00,7.80,7.30,7.30,N/A,7.35,,N,Y,N,Removed from PS+ after download,,,
Owlboy,"Platform, Puzzle, Adventure, Indie","Action, Fantasy, Science Fiction",Single Player,Side View,Digital Download,Drive 4,Unplayed,2.83,20.05,1.09,,,,,,,0,9.30,8.90,8.80,8.80,8.75,8.91,,Y,N,Y,,,,
Oxenfree,"Role-playing (RPG), Adventure, Indie","Fantasy, Science Fiction, Thriller, Drama",Single Player,Side View,Digital Download,Drive 2,Unplayed,1.58,14.00,6.93,,,,,,,0,8.20,7.90,8.10,8.00,7.92,8.02,,Y,N,N,,,,
Oxenfree II: Lost Signals,"Adventure, Indie","Fantasy, Science Fiction, Horror, Drama",Single Player,Side View,N/A,N/A,N/A,3.50,17.00,4.31,,,,,,,0,7.00,8.30,7.80,7.30,N/A,7.60,,N,N,N,,,,
Oxide Room 104,"Adventure, Indie","Action, Horror, Thriller, Survival",Single Player,First Person,Digital Download,Drive 1,Unplayed,3.67,5.48,6.25,,,,,,,0,7.00,N/A,7.00,7.40,N/A,7.13,,N,N,N,,,,
Pac-Man World 2: Re-Pac,"Platform, Adventure, Arcade","Action, Fantasy","Single Player, Multiplayer, Co-operative, Split Screen","Third Person, Side View",N/A,N/A,N/A,3.50,35.23,N/A,,,,,,,0,N/A,7.80,7.60,7.40,6.82,7.40,0,N,N,N,,,,
Pac-Man World: Re-Pac,"Platform, Adventure, Arcade","Action, Fantasy",Single Player,"Third Person, Side View",N/A,N/A,N/A,3.08,16.00,N/A,,,,,,,0,N/A,6.90,7.10,7.10,8.05,7.29,0,N,N,Y,,,,
Panzer Dragoon: Remake,"Shooter, Adventure, Arcade","Action, Fantasy",Single Player,Third Person,N/A,N/A,N/A,2.92,103.30,N/A,,,,,,,0,6.00,6.50,6.30,7.00,9.09,6.98,,N,N,Y,,,,
Panzer Paladin,"Platform, Adventure, Indie, Arcade",Action,Single Player,Side View,N/A,N/A,N/A,3.60,19.47,N/A,,,,,,,0,8.00,7.90,8.00,7.70,N/A,7.90,,N,N,N,,,,
Paper Trail,"Puzzle, Strategy, Adventure, Indie","Fantasy, Kids",Single Player,Bird view/Isometric,N/A,N/A,N/A,3.00,11.07,N/A,,,,,,,0,7.10,8.50,8.10,7.50,N/A,7.80,,N,N,N,,,,
Papetura,"Point-and-click, Platform, Puzzle, Adventure, Indie","Fantasy, Kids",Single Player,Side View,N/A,N/A,N/A,1.29,2.02,N/A,,,,,,,0,7.20,7.00,7.80,6.00,N/A,7.00,,N,N,N,,,,
Paradise Killer,"Puzzle, Role-playing (RPG), Adventure, Indie","Fantasy, Open World, Mystery",Single Player,First Person,Playstation Plus,Drive 3,Unplayed,2.50,24.83,2.31,,,,,,,0,9.00,7.90,8.10,8.10,N/A,8.28,,Y,N,N,,,,
Paradise Lost,"Simulator, Adventure, Indie",Mystery,Single Player,First Person,N/A,N/A,N/A,1.33,6.72,N/A,,,,,,,0,5.00,6.20,6.70,6.60,N/A,6.13,,N,N,N,,,,
Path of Exile,"Role-playing (RPG), Hack and Slash/Beat 'em up, Adventure","Action, Fantasy, Horror","Single Player, Multiplayer, Co-operative, Massively Multiplayer Online (MMO)",Bird view/Isometric,N/A,N/A,N/A,3.16,1499.75,N/A,,,,,,,0,7.60,7.80,6.50,8.60,8.75,7.85,0,N,N,N,,,,
Pathfinder: Kingmaker - Definitive Edition,"Role-playing (RPG), Tactical, Adventure",Fantasy,Single Player,Bird view/Isometric,N/A,N/A,N/A,3.86,365.18,N/A,,,,,,,0,6.80,6.60,7.10,7.40,7.36,7.05,0,N,N,Y,,,,
