Title,Game Genre,Theme,Mode,Perspective,Folder,Status,Difficulty (out of 5),Game Length (in hours),File Size (in GB),IGN,IGDB,OpenCritic,MetaCritic,GameRankings,Avg. Score,Personal Ranking,Owned,Source,Mods?
Resident Evil 4 Wii Edition,"Shooter, Adventure","Action, Horror, Survival",Single Player,Third Person,Resident Evil,Unplayed,3.37,61.22,4.04,9.50,8.30,8.20,9.60,9.16,8.95,,Y,ROM,N
Resident Evil Revelations,"Shooter, Adventure","Action, Science Fiction, Horror, Survival","Single Player, Multiplayer, Co-operative",Third Person,Resident Evil,Unplayed,3.30,67.13,13.71,8.50,8.00,7.10,8.20,7.88,7.94,,Y,ROM,Y
Resident Evil: The Umbrella Chronicles,"Turn-based Strategy (TBS), Shooter","Action, Horror","Single Player, Co-operative","First Person, Third Person",Resident Evil,Unplayed,3.28,31.53,3.08,8.00,7.00,N/A,7.50,7.50,7.50,,Y,ROM,N
Revenant Saga,"Role-playing (RPG), Simulator, Strategy, Adventure, Indie",Fantasy,Single Player,Bird view/Isometric,N/A,Unplayed,2.50,27.93,0.21,N/A,N/A,5.30,5.30,5.25,5.28,0,Y,ROM,N
Rockstar Games Presents Table Tennis,"Simulator, Sport","Non-fiction, Kids","Single Player, Multiplayer",Third Person,Sports & Racing,Unplayed,3.17,22.00,2.81,7.80,8.30,N/A,8.10,6.96,7.79,0,Y,Physical,N
Runbow,"Platform, Racing, Adventure, Indie","Action, Comedy, Party","Single Player, Multiplayer, Co-operative, Split Screen",Side View,N/A,Unplayed,3.36,13.72,2.09,7.10,7.40,8.00,8.20,8.26,7.79,,Y,ROM,N
RUSH,"Music, Puzzle, Strategy, Adventure, Indie",Educational,Single Player,Bird view/Isometric,N/A,Unplayed,4.23,14.47,0.20,8.00,8.60,8.00,7.70,7.56,7.97,0,Y,ROM,N
Severed,"Role-playing (RPG), Hack and Slash/Beat 'em up, Adventure, Indie","Action, Fantasy",Single Player,First Person,N/A,Unplayed,2.25,11.78,0.25,6.40,8.40,8.40,8.20,8.78,8.04,,Y,ROM,N
Shadow of the Ninja,"Platform, Adventure",Action,"Single Player, Multiplayer, Co-operative",Side View,N/A,Unplayed,3.52,5.25,N/A,7.00,8.10,7.80,7.50,N/A,7.60,0,Y,ROM,N
Shakedown: Hawaii,"Shooter, Racing, Adventure, Indie, Arcade","Action, Business, Open World",Single Player,Bird view/Isometric,N/A,Unplayed,2.86,16.82,1.26,7.40,8.00,7.40,7.50,7.93,7.65,0,Y,ROM,N
Shantae and the Pirate's Curse,"Platform, Role-playing (RPG), Adventure, Indie",Action,Single Player,Side View,Shantae,Unplayed,3.15,15.90,0.31,8.50,8.20,8.10,8.20,8.42,8.28,,Y,ROM,N
Shantae: Half-Genie Hero,"Platform, Adventure, Indie","Action, Fantasy, Comedy",Single Player,Side View,Shantae,Unplayed,2.87,14.95,2.77,8.00,8.10,8.10,8.10,8.63,8.19,0,Y,ROM,Y
Shantae: Risky's Revenge - Director's Cut,"Platform, Adventure, Indie",Action,Single Player,,Shantae,Unplayed,3.14,20.13,0.26,9.00,7.80,7.50,8.50,8.83,8.33,,Y,ROM,N
Shovel Knight: Treasure Trove,"Platform, Adventure, Indie","Action, Fantasy, Comedy","Single Player, Multiplayer, Co-operative",Side View,N/A,Unplayed,3.41,53.75,0.19,9.00,9.00,8.90,9.10,8.94,8.99,0,Y,ROM,Y
Sonic & All Stars Racing Transformed,"Racing, Sport","Action, Fantasy, Science Fiction, Comedy","Single Player, Multiplayer, Split Screen",Third Person,Sonic,Unplayed,3.44,109.55,6.19,8.00,7.90,N/A,8.20,7.76,7.97,0,Y,ROM,Y
Sonic Boom: Rise of Lyric,"Platform, Adventure",Action,"Single Player, Multiplayer",Third Person,Sonic,Unplayed,1.73,29.50,9.19,4.30,3.80,3.10,3.20,3.32,3.54,0,Y,ROM,Y
Sonic Lost World,"Platform, Adventure",Action,"Single Player, Multiplayer","Third Person, Side View",Sonic,Unplayed,3.26,34.17,7.49,5.80,5.80,6.00,6.30,6.92,6.16,0,Y,ROM,Y
Splatoon,"Shooter, Platform","Action, Science Fiction","Single Player, Multiplayer, Co-operative",Third Person,N/A,Unplayed,3.01,109.43,2.95,8.60,8.10,8.10,8.10,8.19,8.22,0,Y,ROM,Y
SpongeBob Plankton's Robotic Revenge,"Shooter, Platform, Adventure","Action, Comedy, Kids","Single Player, Multiplayer",Third Person,N/A,Unplayed,1.69,10.75,1.48,3.50,7.00,N/A,4.00,N/A,4.83,0,Y,ROM,Y
Squids Odyssey,"Puzzle, Role-playing (RPG), Strategy, Turn-based Strategy (TBS), Pinball, Adventure, Indie",Action,Single Player,Bird view/Isometric,N/A,Unplayed,2.33,28.25,0.47,N/A,7.00,6.90,6.80,6.56,6.81,0,Y,ROM,N
Star Fox 64,Shooter,"Action, Science Fiction","Single Player, Multiplayer, Split Screen","First Person, Third Person",Star Fox,Unplayed,3.16,17.38,0.02,8.70,8.70,N/A,8.80,8.90,8.78,0,Y,ROM,Y
Star Fox Guard,"Shooter, Puzzle, Strategy","Action, Science Fiction, Comedy",Single Player,"First Person, Bird view/Isometric",Star Fox,Unplayed,3.97,22.95,2.69,7.80,7.10,7.40,7.40,7.42,7.42,0,Y,ROM,N
Star Fox Zero,"Shooter, Adventure","Action, Science Fiction","Single Player, Co-operative","First Person, Third Person",Star Fox,Unplayed,3.72,31.75,6.80,7.50,6.70,6.90,6.90,6.88,6.98,0,Y,ROM,N
Star Wars Pinball,"Simulator, Pinball, Arcade",Science Fiction,Single Player,Bird view/Isometric,Pinball,Unplayed,3.35,10.22,0.83,7.70,8.20,8.50,8.60,8.50,8.30,,Y,ROM,N
Stealth Inc 2: A Game of Clones,"Platform, Puzzle, Adventure, Indie","Action, Science Fiction, Stealth",Single Player,,N/A,Unplayed,3.59,31.03,0.04,8.50,7.00,8.00,8.20,8.39,8.02,,Y,ROM,N
Super Castlevania IV,"Platform, Adventure","Action, Horror",Single Player,Side View,Castlevania,Unplayed,3.62,10.23,0.01,8.00,10.00,N/A,N/A,8.21,8.74,0,Y,Download,N
Super Dodge Ball,"Sport, Arcade",Action,"Single Player, Multiplayer","Bird view/Isometric, Side View",Sports & Racing,Unplayed,2.86,5.37,0.03,8.50,8.10,N/A,7.90,7.55,8.01,0,Y,Download,N
Super Mario 3D World,"Platform, Adventure",Action,"Single Player, Multiplayer, Co-operative",Third Person,Mario and Luigi,Unplayed,3.00,70.67,1.79,9.60,9.40,9.30,9.30,9.26,9.37,0,Y,ROM,Y
Super Mario 64,"Platform, Adventure","Action, Fantasy, Open World",Single Player,Third Person,Mario and Luigi,In-Progress,3.13,44.37,0.02,9.80,8.90,N/A,8.50,9.64,9.21,0,Y,Download,Y
Super Mario Advance,Platform,"Action, Fantasy","Single Player, Multiplayer","Third Person, Side View",Mario and Luigi,Unplayed,3.13,11.15,0.08,8.00,7.80,N/A,8.40,8.22,8.10,,Y,ROM,N
Super Mario Advance 4: Super Mario Bros. 3,Platform,Action,"Single Player, Multiplayer",Side View,Mario and Luigi,Unplayed,3.21,14.33,0.00,9.50,9.00,N/A,9.40,9.23,9.28,0,Y,Download,Y
Super Mario Bros: The Lost Levels,Platform,"Action, Fantasy","Single Player, Multiplayer",Side View,Mario and Luigi,Unplayed,4.65,15.02,0.03,8.50,6.80,N/A,N/A,N/A,7.65,0,Y,ROM,N
Super Mario Bros.,"Platform, Adventure",Action,"Single Player, Multiplayer",Side View,Mario and Luigi,Unplayed,3.32,9.33,0.03,9.00,8.40,N/A,8.40,N/A,8.60,,Y,ROM,N
Super Mario Bros. 2,"Platform, Adventure","Action, Fantasy",Single Player,Side View,Mario and Luigi,Unplayed,3.22,9.85,0.03,8.50,7.70,N/A,N/A,N/A,8.10,,Y,ROM,N
Super Mario Galaxy,"Platform, Adventure","Action, Science Fiction","Single Player, Co-operative",Third Person,Mario and Luigi,Unplayed,3.00,58.00,3.19,9.70,9.90,N/A,9.70,9.76,9.77,0,Y,ROM,Y
Super Mario Galaxy 2,"Platform, Adventure",Action,"Single Player, Multiplayer","Third Person, Bird view/Isometric",Mario and Luigi,Unplayed,3.13,60.68,1.37,10.00,9.60,N/A,9.70,9.74,9.76,0,Y,ROM,Y
Super Mario Kart,Racing,"Fantasy, Party","Single Player, Multiplayer, Split Screen",Third Person,Mario and Luigi,Unplayed,3.23,27.62,0.04,9.00,9.00,N/A,N/A,9.36,9.12,,Y,ROM,Y
